2026-04-10 10:43:36.840226: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-04-10 10:43:36.904857: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX512_FP16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-04-10 10:43:38.146664: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.

============================================================
Training PPO on Scenario C, seed=42, 3M steps, 60 ctrl steps
============================================================
  [Step 690000] Ep 11500: mean F = 0.9590, max F = 0.9946
  [Step 696000] Ep 11600: mean F = 0.9545, max F = 0.9943
  [Step 702000] Ep 11700: mean F = 0.9596, max F = 0.9923
  [Step 708000] Ep 11800: mean F = 0.9582, max F = 0.9939
  [Step 714000] Ep 11900: mean F = 0.9613, max F = 0.9932
  [Step 720000] Ep 12000: mean F = 0.9583, max F = 0.9938
  [Step 726000] Ep 12100: mean F = 0.9671, max F = 0.9944
  [Step 732000] Ep 12200: mean F = 0.9652, max F = 0.9924
  [Step 738000] Ep 12300: mean F = 0.9629, max F = 0.9941
  [Step 744000] Ep 12400: mean F = 0.9576, max F = 0.9946
  [Step 750000] Ep 12500: mean F = 0.9633, max F = 0.9937
  [Step 756000] Ep 12600: mean F = 0.9569, max F = 0.9940
  [Step 762000] Ep 12700: mean F = 0.9595, max F = 0.9945
  [Step 768000] Ep 12800: mean F = 0.9605, max F = 0.9947
  [Step 774000] Ep 12900: mean F = 0.9658, max F = 0.9942
  [Step 780000] Ep 13000: mean F = 0.9652, max F = 0.9950
  [Step 786000] Ep 13100: mean F = 0.9614, max F = 0.9935
  [Step 792000] Ep 13200: mean F = 0.9553, max F = 0.9937
  [Step 798000] Ep 13300: mean F = 0.9638, max F = 0.9948
  [Step 804000] Ep 13400: mean F = 0.9617, max F = 0.9943
  [Step 810000] Ep 13500: mean F = 0.9630, max F = 0.9952
  [Step 816000] Ep 13600: mean F = 0.9589, max F = 0.9949
  [Step 822000] Ep 13700: mean F = 0.9618, max F = 0.9942
  [Step 828000] Ep 13800: mean F = 0.9595, max F = 0.9949
  [Step 834000] Ep 13900: mean F = 0.9680, max F = 0.9948
  [Step 840000] Ep 14000: mean F = 0.9609, max F = 0.9955
  [Step 846000] Ep 14100: mean F = 0.9626, max F = 0.9947
  [Step 852000] Ep 14200: mean F = 0.9566, max F = 0.9943
  [Step 858000] Ep 14300: mean F = 0.9545, max F = 0.9935
  [Step 864000] Ep 14400: mean F = 0.9622, max F = 0.9943
  [Step 870000] Ep 14500: mean F = 0.9669, max F = 0.9958
  [Step 876000] Ep 14600: mean F = 0.9624, max F = 0.9949
  [Step 882000] Ep 14700: mean F = 0.9666, max F = 0.9939
  [Step 888000] Ep 14800: mean F = 0.9677, max F = 0.9942
  [Step 894000] Ep 14900: mean F = 0.9660, max F = 0.9940
  [Step 900000] Ep 15000: mean F = 0.9651, max F = 0.9943
  [Step 906000] Ep 15100: mean F = 0.9631, max F = 0.9949
  [Step 912000] Ep 15200: mean F = 0.9595, max F = 0.9942
  [Step 918000] Ep 15300: mean F = 0.9633, max F = 0.9946
  [Step 924000] Ep 15400: mean F = 0.9703, max F = 0.9946
  [Step 930000] Ep 15500: mean F = 0.9688, max F = 0.9937
  [Step 936000] Ep 15600: mean F = 0.9630, max F = 0.9940
  [Step 942000] Ep 15700: mean F = 0.9698, max F = 0.9944
  [Step 948000] Ep 15800: mean F = 0.9692, max F = 0.9949
  [Step 954000] Ep 15900: mean F = 0.9702, max F = 0.9941
  [Step 960000] Ep 16000: mean F = 0.9723, max F = 0.9926
  [Step 966000] Ep 16100: mean F = 0.9675, max F = 0.9953
  [Step 972000] Ep 16200: mean F = 0.9694, max F = 0.9937
  [Step 978000] Ep 16300: mean F = 0.9708, max F = 0.9949
  [Step 984000] Ep 16400: mean F = 0.9657, max F = 0.9943
  [Step 990000] Ep 16500: mean F = 0.9698, max F = 0.9942
  [Step 996000] Ep 16600: mean F = 0.9704, max F = 0.9946
  [Step 1002000] Ep 16700: mean F = 0.9639, max F = 0.9944
  [Step 1008000] Ep 16800: mean F = 0.9693, max F = 0.9938
  [Step 1014000] Ep 16900: mean F = 0.9664, max F = 0.9932
  [Step 1020000] Ep 17000: mean F = 0.9690, max F = 0.9948
  [Step 1026000] Ep 17100: mean F = 0.9717, max F = 0.9949
  [Step 1032000] Ep 17200: mean F = 0.9665, max F = 0.9943
  [Step 1038000] Ep 17300: mean F = 0.9708, max F = 0.9943
  [Step 1044000] Ep 17400: mean F = 0.9661, max F = 0.9928
  [Step 1050000] Ep 17500: mean F = 0.9692, max F = 0.9946
  [Step 1056000] Ep 17600: mean F = 0.9707, max F = 0.9945
  [Step 1062000] Ep 17700: mean F = 0.9729, max F = 0.9945
  [Step 1068000] Ep 17800: mean F = 0.9728, max F = 0.9952
  [Step 1074000] Ep 17900: mean F = 0.9685, max F = 0.9948
  [Step 1080000] Ep 18000: mean F = 0.9684, max F = 0.9943
  [Step 1086000] Ep 18100: mean F = 0.9710, max F = 0.9945
  [Step 1092000] Ep 18200: mean F = 0.9723, max F = 0.9939
  [Step 1098000] Ep 18300: mean F = 0.9665, max F = 0.9950
  [Step 1104000] Ep 18400: mean F = 0.9706, max F = 0.9931
  [Step 1110000] Ep 18500: mean F = 0.9721, max F = 0.9947
